trainee_id,interests,skills,goals,notes
متدرب-113,"كشف الشذوذ والأنماط, إجراءات نظامية وإثباتات","التعامل مع الأدلة الرقمية, الاستجابة للحوادث السيبرانية",الاستعداد للعمل في مركز عمليات أمنية,يرغب في تطبيق عملي وحالات واقعية.
متدرب-114,"بايثون, أدلة الأجهزة الذكية, مركز عمليات أمنية, تصيد احتيالي, جرائم معلوماتية","أساسيات SQL, OSINT (استخبارات المصادر المفتوحة), الإجراءات النظامية ذات العلاقة, أساسيات مركز العمليات الأمنية (SOC)",ترقية وظيفية/رفع جاهزية الأداء,مهتم بتعلم أدوات التحليل الرقمي.
متدرب-115,"أدلة رقمية, SQL, تحليل بيانات, سلسلة حفظ الأدلة, أدلة الشبكات","أساسيات مركز العمليات الأمنية (SOC), التعامل مع الأدلة الرقمية",فهم تطبيقات الذكاء الاصطناعي في العمل,يركز على تحسين كتابة التقارير الرسمية.
متدرب-116,"SIEM وتحليل تنبيهات, مركز عمليات أمنية","التعامل مع الأدلة الرقمية, OSINT (استخبارات المصادر المفتوحة), أساسيات تحليل البرمجيات الخبيثة",تعلم تحليل البيانات لدعم القضايا,مهتم بتعلم أدوات التحليل الرقمي.
متدرب-117,"البحث عن التهديدات, برمجيات فدية","كتابة التقارير المهنية, البحث عن التهديدات, أساسيات مركز العمليات الأمنية (SOC)",تحسين كتابة التقارير والمخرجات الرسمية,يرغب في تطبيق عملي وحالات واقعية.
متدرب-118,"تحليل بيانات, سلسلة حفظ الأدلة, SIEM وتحليل تنبيهات","أساسيات SQL, إدارة الأزمات, أساسيات التحقيق الجنائي, التحليل الجنائي للأجهزة الذكية",الانتقال لمسار الأمن السيبراني,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-119,,,,
متدرب-120,,,,
متدرب-121,"SQL, مركز عمليات أمنية, برمجيات فدية, كشف الشذوذ والأنماط, الاستجابة للحوادث","التحليل الجنائي للذاكرة, كتابة التقارير المهنية, البحث عن التهديدات",الاستعداد للعمل في مركز عمليات أمنية,مهتم بتعلم أدوات التحليل الرقمي.
متدرب-122,"OSINT, ذكاء اصطناعي للأمن, بايثون, أدلة الشبكات","التواصل والعرض, أخلاقيات العمل والامتثال, OSINT (استخبارات المصادر المفتوحة)",التخصص في الأدلة الرقمية,يريد فهم آليات الاستجابة للحوادث.
متدرب-123,"احتيال مالي, كشف الشذوذ والأنماط, برمجيات فدية, تصيد احتيالي","أساسيات SQL, أساسيات بايثون للتحليل, كتابة التقارير المهنية",الاستعداد للعمل في مركز عمليات أمنية,يركز على تحسين كتابة التقارير الرسمية.
متدرب-124,"برمجيات فدية, أدلة الشبكات, بايثون, احتيال مالي, تحليل بيانات","إدارة الثغرات الأمنية, كتابة التقارير المهنية",رفع الوعي بالامتثال وأخلاقيات التقنية,مهتم بتعلم أدوات التحليل الرقمي.
متدرب-125,"ذكاء اصطناعي للأمن, تحليل بيانات","إدارة الأزمات, أساسيات التحقيق الجنائي, أساسيات أنظمة SIEM, التحليل الجنائي للأجهزة الذكية",تطوير مهارات التحقيق,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-126,"OSINT, الاستجابة للحوادث","أساسيات بايثون للتحليل, توثيق القضايا وكتابة المحاضر",التخصص في الأدلة الرقمية,مهتم بتعلم أدوات التحليل الرقمي.
متدرب-127,,,,
متدرب-128,"OSINT, الاستجابة للحوادث, البحث عن التهديدات","أساسيات أنظمة SIEM, سلسلة حفظ الأدلة, التواصل والعرض, أساسيات بايثون للتحليل, كتابة التقارير المهنية",الانتقال لمسار الأمن السيبراني,يرغب في تطبيق عملي وحالات واقعية.
متدرب-129,"SQL, أدلة رقمية, إجراءات نظامية وإثباتات, جرائم معلوماتية, تحليل برمجيات خبيثة (أساسيات)","إدارة الثغرات الأمنية, التواصل والعرض, إدارة الأزمات, أساسيات بايثون للتحليل",تعلم تحليل البيانات لدعم القضايا,يريد فهم آليات الاستجابة للحوادث.
متدرب-130,"إجراءات نظامية وإثباتات, تحليل بيانات, الاستجابة للحوادث","التحليل الجنائي للأجهزة الذكية, تحليل أجهزة التخزين, إدارة الأزمات",التخصص في الأدلة الرقمية,يرغب في تطبيق عملي وحالات واقعية.
متدرب-131,"تحليل برمجيات خبيثة (أساسيات), جرائم معلوماتية, إجراءات نظامية وإثباتات, أدلة الشبكات, احتيال مالي","OSINT (استخبارات المصادر المفتوحة), توثيق القضايا وكتابة المحاضر",فهم تطبيقات الذكاء الاصطناعي في العمل,يريد فهم آليات الاستجابة للحوادث.
متدرب-132,"إجراءات نظامية وإثباتات, تصيد احتيالي","إدارة الثغرات الأمنية, التحليل الجنائي للذاكرة, أساسيات بايثون للتحليل, تحليل أجهزة التخزين, أخلاقيات العمل والامتثال",تطوير مهارات التحقيق,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-133,"إجراءات نظامية وإثباتات, كشف الشذوذ والأنماط, SIEM وتحليل تنبيهات, ذكاء اصطناعي للأمن","التحليل الجنائي للشبكات, كتابة التقارير المهنية, التواصل والعرض",رفع الوعي بالامتثال وأخلاقيات التقنية,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-134,"تصيد احتيالي, ذكاء اصطناعي للأمن, أدلة الأجهزة الذكية, OSINT","توثيق القضايا وكتابة المحاضر, تحليل السجلات, أساسيات تحليل البرمجيات الخبيثة, التواصل والعرض, أساسيات أنظمة SIEM",رفع الوعي بالامتثال وأخلاقيات التقنية,يركز على تحسين كتابة التقارير الرسمية.
متدرب-135,"أدلة رقمية, مركز عمليات أمنية, البحث عن التهديدات, أدلة الأجهزة الذكية, بايثون","التحليل الجنائي للذاكرة, التحليل الجنائي للشبكات, التخطيط التشغيلي",الاستعداد للعمل في مركز عمليات أمنية,مهتم بتعلم أدوات التحليل الرقمي.
متدرب-136,"OSINT, ذكاء اصطناعي للأمن, SQL, أدلة رقمية, البحث عن التهديدات","التحليل الجنائي للأجهزة الذكية, تحليل أجهزة التخزين, أساسيات مركز العمليات الأمنية (SOC)",التخصص في الأدلة الرقمية,مهتم بتعلم أدوات التحليل الرقمي.
متدرب-137,"ذكاء اصطناعي للأمن, أدلة الشبكات","التحليل الجنائي للأجهزة الذكية, أساسيات أنظمة SIEM",تطوير مهارات التحقيق,يرغب في تطبيق عملي وحالات واقعية.
متدرب-138,"بايثون, أدلة الشبكات, SIEM وتحليل تنبيهات","أساسيات التحقيق الجنائي, تحليل أجهزة التخزين, إدارة الأزمات, الإجراءات النظامية ذات العلاقة",فهم تطبيقات الذكاء الاصطناعي في العمل,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-139,"البحث عن التهديدات, إجراءات نظامية وإثباتات, ذكاء اصطناعي للأمن","أخلاقيات العمل والامتثال, التحليل الجنائي للشبكات, أساسيات أنظمة SIEM, إدارة الثغرات الأمنية",رفع الوعي بالامتثال وأخلاقيات التقنية,يركز على تحسين كتابة التقارير الرسمية.
متدرب-140,"SQL, بايثون, تحليل بيانات, برمجيات فدية","أخلاقيات العمل والامتثال, أساسيات مركز العمليات الأمنية (SOC), تحليل أجهزة التخزين, تحليل السجلات, الاستجابة للحوادث السيبرانية",تطوير مهارات التحقيق,يريد فهم آليات الاستجابة للحوادث.
متدرب-141,"جرائم معلوماتية, سلسلة حفظ الأدلة, ذكاء اصطناعي للأمن","التحليل الجنائي للشبكات, كتابة التقارير المهنية, تحليل أجهزة التخزين, أساسيات مركز العمليات الأمنية (SOC), التحليل الجنائي للذاكرة",تعلم تحليل البيانات لدعم القضايا,يريد فهم آليات الاستجابة للحوادث.
متدرب-142,"ذكاء اصطناعي للأمن, SIEM وتحليل تنبيهات, سلسلة حفظ الأدلة, بايثون, SQL","التعامل مع الأدلة الرقمية, إدارة الأزمات, القيادة الأساسية, تحليل السجلات, كتابة التقارير المهنية",رفع الوعي بالامتثال وأخلاقيات التقنية,مهتم بتعلم أدوات التحليل الرقمي.
متدرب-143,"SQL, تصيد احتيالي","التواصل والعرض, توثيق القضايا وكتابة المحاضر",تطوير مهارات التحقيق,مهتم بتعلم أدوات التحليل الرقمي.
متدرب-144,,,,
متدرب-145,"أدلة رقمية, جرائم معلوماتية","تحليل البيانات (Excel/مبادئ), إدارة الثغرات الأمنية, تحليل السجلات",تطوير مهارات التحقيق,يريد فهم آليات الاستجابة للحوادث.
متدرب-146,"بايثون, جرائم معلوماتية, كشف الشذوذ والأنماط, OSINT, ذكاء اصطناعي للأمن","تحليل البيانات (Excel/مبادئ), إدارة الأزمات",ترقية وظيفية/رفع جاهزية الأداء,يريد فهم آليات الاستجابة للحوادث.
متدرب-147,"SQL, OSINT","الإجراءات النظامية ذات العلاقة, تحليل البيانات (Excel/مبادئ), كتابة التقارير المهنية",تحسين كتابة التقارير والمخرجات الرسمية,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-148,"الاستجابة للحوادث, سلسلة حفظ الأدلة, البحث عن التهديدات, احتيال مالي","أساسيات أنظمة SIEM, إدارة الثغرات الأمنية, أساسيات SQL, التحليل الجنائي للذاكرة",تحسين كتابة التقارير والمخرجات الرسمية,يركز على تحسين كتابة التقارير الرسمية.
متدرب-149,"تصيد احتيالي, احتيال مالي","أساسيات أنظمة SIEM, أساسيات بايثون للتحليل, البحث عن التهديدات, توثيق القضايا وكتابة المحاضر, أساسيات تحليل البرمجيات الخبيثة",تطوير مهارات التحقيق,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-150,,,,
متدرب-151,"كشف الشذوذ والأنماط, برمجيات فدية, SQL, تصيد احتيالي","تحليل أجهزة التخزين, التخطيط التشغيلي, أساسيات SQL",فهم تطبيقات الذكاء الاصطناعي في العمل,يركز على تحسين كتابة التقارير الرسمية.
متدرب-152,,,,
متدرب-153,,,,
متدرب-154,"أدلة الأجهزة الذكية, SIEM وتحليل تنبيهات","تحليل أجهزة التخزين, أساسيات SQL",الاستعداد للعمل في مركز عمليات أمنية,مهتم بتعلم أدوات التحليل الرقمي.
متدرب-155,"أدلة الأجهزة الذكية, كشف الشذوذ والأنماط, إجراءات نظامية وإثباتات, البحث عن التهديدات","أساسيات أنظمة SIEM, أخلاقيات العمل والامتثال, إدارة الأزمات, كتابة التقارير المهنية",التخصص في الأدلة الرقمية,يريد فهم آليات الاستجابة للحوادث.
متدرب-156,"تصيد احتيالي, برمجيات فدية, OSINT, إجراءات نظامية وإثباتات","أساسيات مركز العمليات الأمنية (SOC), OSINT (استخبارات المصادر المفتوحة)",تعلم تحليل البيانات لدعم القضايا,يركز على تحسين كتابة التقارير الرسمية.
متدرب-157,,,,
متدرب-158,"بايثون, إجراءات نظامية وإثباتات, الاستجابة للحوادث, البحث عن التهديدات, OSINT","التواصل والعرض, أساسيات SQL, أساسيات أنظمة SIEM",التخصص في الأدلة الرقمية,يريد فهم آليات الاستجابة للحوادث.
متدرب-159,"احتيال مالي, تحليل برمجيات خبيثة (أساسيات), سلسلة حفظ الأدلة","أساسيات أنظمة SIEM, التخطيط التشغيلي, القيادة الأساسية",الاستعداد للعمل في مركز عمليات أمنية,مهتم بتعلم أدوات التحليل الرقمي.
متدرب-160,"احتيال مالي, جرائم معلوماتية","إدارة الثغرات الأمنية, تحليل السجلات, أخلاقيات العمل والامتثال, التحليل الجنائي للأجهزة الذكية",التخصص في الأدلة الرقمية,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-161,,,,
متدرب-162,"برمجيات فدية, جرائم معلوماتية, احتيال مالي, الاستجابة للحوادث, ذكاء اصطناعي للأمن","أساسيات أنظمة SIEM, أساسيات التحقيق الجنائي, التحليل الجنائي للشبكات, الاستجابة للحوادث السيبرانية",تعلم تحليل البيانات لدعم القضايا,يرغب في تطبيق عملي وحالات واقعية.
متدرب-163,"كشف الشذوذ والأنماط, SQL, أدلة الأجهزة الذكية","التعامل مع الأدلة الرقمية, كتابة التقارير المهنية, التحليل الجنائي للأجهزة الذكية, التحليل الجنائي للشبكات, البحث عن التهديدات",الاستعداد للعمل في مركز عمليات أمنية,يرغب في تطبيق عملي وحالات واقعية.
متدرب-164,"OSINT, مركز عمليات أمنية, بايثون, احتيال مالي","التحليل الجنائي للأجهزة الذكية, التحليل الجنائي للذاكرة, إدارة الأزمات, أساسيات تحليل البرمجيات الخبيثة",فهم تطبيقات الذكاء الاصطناعي في العمل,يريد فهم آليات الاستجابة للحوادث.
متدرب-165,"برمجيات فدية, أدلة رقمية, مركز عمليات أمنية, جرائم معلوماتية, البحث عن التهديدات","OSINT (استخبارات المصادر المفتوحة), أساسيات أنظمة SIEM, القيادة الأساسية, أساسيات مركز العمليات الأمنية (SOC)",فهم تطبيقات الذكاء الاصطناعي في العمل,يركز على تحسين كتابة التقارير الرسمية.
متدرب-166,"مركز عمليات أمنية, SIEM وتحليل تنبيهات, أدلة الشبكات","أساسيات مركز العمليات الأمنية (SOC), التعامل مع الأدلة الرقمية, أساسيات أنظمة SIEM, التحليل الجنائي للشبكات, إدارة الأزمات",فهم تطبيقات الذكاء الاصطناعي في العمل,يريد فهم آليات الاستجابة للحوادث.
متدرب-167,"البحث عن التهديدات, سلسلة حفظ الأدلة, تحليل برمجيات خبيثة (أساسيات), الاستجابة للحوادث","أساسيات SQL, تحليل أجهزة التخزين",رفع الوعي بالامتثال وأخلاقيات التقنية,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-168,"تحليل بيانات, أدلة الشبكات","القيادة الأساسية, التحليل الجنائي للشبكات, التخطيط التشغيلي, سلسلة حفظ الأدلة, الاستجابة للحوادث السيبرانية",فهم تطبيقات الذكاء الاصطناعي في العمل,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-169,"سلسلة حفظ الأدلة, أدلة رقمية, OSINT","سلسلة حفظ الأدلة, إدارة الثغرات الأمنية, OSINT (استخبارات المصادر المفتوحة), البحث عن التهديدات, أساسيات SQL",تعلم تحليل البيانات لدعم القضايا,يريد فهم آليات الاستجابة للحوادث.
متدرب-170,"ذكاء اصطناعي للأمن, تصيد احتيالي, الاستجابة للحوادث, احتيال مالي, برمجيات فدية","التواصل والعرض, تحليل السجلات, التعامل مع الأدلة الرقمية",تطوير مهارات التحقيق,يريد فهم آليات الاستجابة للحوادث.
متدرب-171,"SIEM وتحليل تنبيهات, OSINT, برمجيات فدية, جرائم معلوماتية, ذكاء اصطناعي للأمن","التحليل الجنائي للذاكرة, تحليل البيانات (Excel/مبادئ), إدارة الأزمات, أساسيات بايثون للتحليل",تحسين كتابة التقارير والمخرجات الرسمية,مهتم بتعلم أدوات التحليل الرقمي.
متدرب-172,"كشف الشذوذ والأنماط, SQL, أدلة رقمية, الاستجابة للحوادث, جرائم معلوماتية","الإجراءات النظامية ذات العلاقة, التحليل الجنائي للشبكات, الاستجابة للحوادث السيبرانية, سلسلة حفظ الأدلة, إدارة الأزمات",الاستعداد للعمل في مركز عمليات أمنية,يركز على تحسين كتابة التقارير الرسمية.
متدرب-173,"أدلة الشبكات, SQL, بايثون, الاستجابة للحوادث, ذكاء اصطناعي للأمن","إدارة الثغرات الأمنية, إدارة الأزمات",فهم تطبيقات الذكاء الاصطناعي في العمل,يركز على تحسين كتابة التقارير الرسمية.
متدرب-174,,,,
متدرب-175,,,,
متدرب-176,"SIEM وتحليل تنبيهات, برمجيات فدية","إدارة الأزمات, التحليل الجنائي للذاكرة, تحليل البيانات (Excel/مبادئ)",الاستعداد للعمل في مركز عمليات أمنية,يريد فهم آليات الاستجابة للحوادث.
متدرب-177,"تحليل بيانات, إجراءات نظامية وإثباتات, البحث عن التهديدات, أدلة الأجهزة الذكية, SQL","أساسيات أنظمة SIEM, أساسيات التحقيق الجنائي, إدارة الأزمات, OSINT (استخبارات المصادر المفتوحة), تحليل أجهزة التخزين",فهم تطبيقات الذكاء الاصطناعي في العمل,يريد فهم آليات الاستجابة للحوادث.
متدرب-178,"أدلة الشبكات, تحليل برمجيات خبيثة (أساسيات)","أخلاقيات العمل والامتثال, التخطيط التشغيلي, القيادة الأساسية, سلسلة حفظ الأدلة",التخصص في الأدلة الرقمية,يريد فهم آليات الاستجابة للحوادث.
متدرب-179,"أدلة الشبكات, تحليل بيانات, برمجيات فدية, سلسلة حفظ الأدلة","تحليل البيانات (Excel/مبادئ), أساسيات تحليل البرمجيات الخبيثة, أساسيات مركز العمليات الأمنية (SOC), OSINT (استخبارات المصادر المفتوحة), أساسيات أنظمة SIEM",تعلم تحليل البيانات لدعم القضايا,يريد فهم آليات الاستجابة للحوادث.
متدرب-180,,,,
متدرب-181,"تحليل برمجيات خبيثة (أساسيات), أدلة الأجهزة الذكية, مركز عمليات أمنية, احتيال مالي, أدلة رقمية","الإجراءات النظامية ذات العلاقة, التحليل الجنائي للذاكرة, التحليل الجنائي للشبكات, التعامل مع الأدلة الرقمية",الانتقال لمسار الأمن السيبراني,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-182,"تحليل برمجيات خبيثة (أساسيات), أدلة رقمية, البحث عن التهديدات, OSINT, أدلة الأجهزة الذكية","أساسيات تحليل البرمجيات الخبيثة, أساسيات بايثون للتحليل, التخطيط التشغيلي, التعامل مع الأدلة الرقمية, البحث عن التهديدات",ترقية وظيفية/رفع جاهزية الأداء,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-183,"تحليل برمجيات خبيثة (أساسيات), تصيد احتيالي, الاستجابة للحوادث, جرائم معلوماتية, بايثون","تحليل أجهزة التخزين, أساسيات أنظمة SIEM, أساسيات بايثون للتحليل",رفع الوعي بالامتثال وأخلاقيات التقنية,مهتم بتعلم أدوات التحليل الرقمي.
متدرب-184,"OSINT, تحليل بيانات, بايثون, أدلة الأجهزة الذكية, احتيال مالي","القيادة الأساسية, أخلاقيات العمل والامتثال",تحسين كتابة التقارير والمخرجات الرسمية,يركز على تحسين كتابة التقارير الرسمية.
متدرب-185,,,,
متدرب-186,"أدلة الأجهزة الذكية, تحليل بيانات, بايثون, SQL","أساسيات SQL, الإجراءات النظامية ذات العلاقة",ترقية وظيفية/رفع جاهزية الأداء,يريد فهم آليات الاستجابة للحوادث.
متدرب-187,"ذكاء اصطناعي للأمن, تصيد احتيالي, تحليل بيانات, أدلة الشبكات","الإجراءات النظامية ذات العلاقة, إدارة الأزمات, أساسيات تحليل البرمجيات الخبيثة, أخلاقيات العمل والامتثال, التحليل الجنائي للذاكرة",ترقية وظيفية/رفع جاهزية الأداء,يرغب في تطبيق عملي وحالات واقعية.
متدرب-188,"احتيال مالي, تحليل بيانات, برمجيات فدية, إجراءات نظامية وإثباتات","القيادة الأساسية, إدارة الأزمات, أساسيات SQL",الانتقال لمسار الأمن السيبراني,يريد فهم آليات الاستجابة للحوادث.
متدرب-189,"تحليل برمجيات خبيثة (أساسيات), أدلة رقمية, أدلة الشبكات","القيادة الأساسية, توثيق القضايا وكتابة المحاضر, أساسيات SQL",الانتقال لمسار الأمن السيبراني,يريد فهم آليات الاستجابة للحوادث.
متدرب-190,"SIEM وتحليل تنبيهات, مركز عمليات أمنية, كشف الشذوذ والأنماط","تحليل البيانات (Excel/مبادئ), التواصل والعرض, الإجراءات النظامية ذات العلاقة, كتابة التقارير المهنية",تعلم تحليل البيانات لدعم القضايا,يرغب في تطبيق عملي وحالات واقعية.
متدرب-191,"أدلة رقمية, إجراءات نظامية وإثباتات, تحليل برمجيات خبيثة (أساسيات)","التحليل الجنائي للذاكرة, أخلاقيات العمل والامتثال, التواصل والعرض, أساسيات أنظمة SIEM",فهم تطبيقات الذكاء الاصطناعي في العمل,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-192,"OSINT, البحث عن التهديدات, تحليل بيانات, احتيال مالي","أساسيات أنظمة SIEM, تحليل البيانات (Excel/مبادئ)",ترقية وظيفية/رفع جاهزية الأداء,يركز على تحسين كتابة التقارير الرسمية.
متدرب-193,"SIEM وتحليل تنبيهات, كشف الشذوذ والأنماط, جرائم معلوماتية, احتيال مالي, تحليل بيانات","سلسلة حفظ الأدلة, القيادة الأساسية, أساسيات بايثون للتحليل, أساسيات أنظمة SIEM",تحسين كتابة التقارير والمخرجات الرسمية,مهتم بتعلم أدوات التحليل الرقمي.
متدرب-194,"سلسلة حفظ الأدلة, SIEM وتحليل تنبيهات, مركز عمليات أمنية, كشف الشذوذ والأنماط, أدلة رقمية","القيادة الأساسية, أساسيات مركز العمليات الأمنية (SOC), التواصل والعرض, أخلاقيات العمل والامتثال, توثيق القضايا وكتابة المحاضر",تطوير مهارات التحقيق,يرغب في تطبيق عملي وحالات واقعية.
متدرب-195,"جرائم معلوماتية, برمجيات فدية, أدلة الأجهزة الذكية, تحليل بيانات, SQL","الاستجابة للحوادث السيبرانية, تحليل أجهزة التخزين",الاستعداد للعمل في مركز عمليات أمنية,يركز على تحسين كتابة التقارير الرسمية.
متدرب-196,"احتيال مالي, الاستجابة للحوادث, سلسلة حفظ الأدلة, تحليل برمجيات خبيثة (أساسيات)","التواصل والعرض, أساسيات تحليل البرمجيات الخبيثة, التعامل مع الأدلة الرقمية, توثيق القضايا وكتابة المحاضر",تعلم تحليل البيانات لدعم القضايا,يركز على تحسين كتابة التقارير الرسمية.
متدرب-197,"OSINT, احتيال مالي, برمجيات فدية","تحليل أجهزة التخزين, البحث عن التهديدات",التخصص في الأدلة الرقمية,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-198,"جرائم معلوماتية, تحليل برمجيات خبيثة (أساسيات), SIEM وتحليل تنبيهات, برمجيات فدية, OSINT","البحث عن التهديدات, سلسلة حفظ الأدلة, التحليل الجنائي للذاكرة",تعلم تحليل البيانات لدعم القضايا,يرغب في تطبيق عملي وحالات واقعية.
متدرب-199,"برمجيات فدية, SIEM وتحليل تنبيهات","التحليل الجنائي للشبكات, كتابة التقارير المهنية, أساسيات أنظمة SIEM, أخلاقيات العمل والامتثال",الاستعداد للعمل في مركز عمليات أمنية,يحتاج مسار تدريجي من مبتدئ إلى متقدم.
متدرب-200,,,,
